bill_id,safety_security,national_security,antitrust,civil_human_rights,industrial_policy
national_security::AAP - Drive Adoption of AI within the Department of Defense,0.3613617122,0.4642646894,0.3638090819,0.3641285792,0.4457787573
national_security::AAP - Plug Loopholes in Existing Semiconductor Manufacturing Export Controls,0.3359150082,0.4503766462,0.3767103031,0.3391736582,0.4211138934
national_security::AAP - Strengthen AI Compute Export Control Enforcement,0.4398621783,0.5528870285,0.4799312159,0.4443142861,0.5150976956
national_security::AI Diffusion Framework,0.5130664647,0.5656276971,0.4621419072,0.4686114773,0.4761117101
national_security::AI Model Weights FDPR,0.3608518586,0.4023818359,0.3717905492,0.3668963477,0.3958518818
national_security::EAR - AI Model Weight Controls,0.4390618369,0.4360912263,0.4313679725,0.4255475283,0.4402061388
national_security::EAR - Integrated Circuits,0.3158186004,0.3420823231,0.3582366437,0.3220873654,0.3729405299
national_security::License Exception Artificial Intelligence Authorization (AIA),0.4070781827,0.4584771305,0.425583528,0.4169569984,0.4477592468
national_security::NDAA 2026,0.5268780231,0.6021153986,0.4928570509,0.4984288976,0.5639918566
national_security::Semi Tariffs - Trump January 2026,0.3194643274,0.4375059128,0.3488686234,0.3253740206,0.4011198625
national_security::Remote Access Security Act,0.3893297911,0.4705380335,0.3938492924,0.3980573058,0.3899492234
national_security::Advanced AI Security Readiness Act,0.541232416,0.6195988148,0.5081562057,0.5235891759,0.5371358305
national_security::GAIN AI Act,0.4288824275,0.5070667177,0.454270348,0.4506253824,0.4798419461
national_security::AI Overwatch Act,0.4416524678,0.5264475524,0.4525576919,0.4406221986,0.4604343399
national_security::Protecting Against Foreign Adversarial AI Act,0.4608571991,0.5631536394,0.4623263866,0.4750236705,0.4559579104
national_security::Protecting AI and Cloud Competition in Defense Act,0.4754275709,0.5636292666,0.5311557531,0.5043474078,0.5469725654
national_security::Intelligence Authorization Act for FY26,0.5445634425,0.5373876601,0.4972842559,0.5048078805,0.5180643141
safety_security::AAP - Bolster Critical Infrastructure Cybersecurity,0.4775553003,0.5856793061,0.4295450419,0.448400937,0.4820396334
safety_security::AAP - Build High Security Data Centers,0.44438072,0.5466455042,0.4274045631,0.4426633671,0.4927305087
safety_security::AAP - Ensure that the US is at the Forefront,0.4615298435,0.5360465348,0.4063589156,0.4042883635,0.4321757972
safety_security::AAP - Invest in Biosecurity,0.4706739351,0.544224292,0.4392112702,0.4610101074,0.4788617045
safety_security::AAP - Promote Mature Federal Capacity for AI Incident Response,0.4725855708,0.5225725412,0.4254114911,0.43060482,0.4550570875
safety_security::AAP - Promote Secure-By-Design AI,0.558429417,0.6150416672,0.475926289,0.5347633511,0.5359084815
safety_security::AAP - Protect Commercial and Government AI Innovations,0.4680217877,0.5799107522,0.4578200027,0.4774521396,0.5150198445
safety_security::California Generative AI: Training Data Transparency Bill,0.5115277678,0.5270158783,0.47028822,0.5404530644,0.4861142054
safety_security::EU AI Act,0.5808163851,0.5157762468,0.474118337,0.5561306864,0.4441193134
safety_security::EO 14365: Ensuring a National Policy Framework for Artificial Intelligence,0.4926144481,0.5304588139,0.5058107585,0.5353359282,0.522682707
safety_security::California 2025 SB53,0.5528214276,0.5084747821,0.4836744115,0.5207938612,0.4934402704
safety_security::ISO - AI Management System,0.6174874425,0.5272080451,0.4790078372,0.5631177783,0.4997689515
safety_security::NIST AI RMF,0.5970472962,0.5319783643,0.4590267748,0.5823706537,0.4711697325
safety_security::NY RAISE Act,0.5327714175,0.5028139651,0.4741235957,0.5311929286,0.5085189819
safety_security::EO 14144: Strengthening and Promoting Innovation in the Nation’s Cybersecurity,0.4861384079,0.5576167271,0.4681936607,0.4996030614,0.4759953335
safety_security::Utah Artificial Intelligence Policy Act,0.5338629156,0.5389327824,0.4931470811,0.5553764641,0.5363366663
safety_security::AI Accountability Act,0.5267027587,0.5206244677,0.4856135637,0.5210773855,0.4878875732
safety_security::AI Whistleblower Protection Act,0.5822790563,0.5714533925,0.4884612262,0.5657648921,0.5063073158
"safety_security::AI Research, Innovation, and Accountability Act",0.5845071375,0.5796859175,0.5246681035,0.5830219567,0.5535912782
safety_security::Secure AI Act,0.5811716586,0.577034089,0.4799413458,0.5342159569,0.5093696117
